epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.23727,1.51073,3.96991,1.58098,0.00392,1,0.42212,0.35558,0.51323,3.39978,0.86126,0.00025,0.00025,0.00025
2,1.93242,1.52232,3.04479,1.44196,0.00378,1,0.5411,0.2764,1.19699,3.25128,1.0554,0.000502353,0.000502353,0.000502353
3,2.61291,1.46929,2.81779,1.39198,0.81862,0.0625,0.46789,0.25831,1.20993,2.97583,1.19091,0.00074431,0.00074431,0.00074431
4,3.29331,1.37386,2.6971,1.35479,0.64589,0.54167,0.52018,0.34492,0.96446,2.85351,1.02534,0.000975872,0.000975872,0.000975872
5,3.96138,1.39137,2.55614,1.3489,0.60892,0.39926,0.51343,0.34897,1.45671,2.7103,1.27245,0.001151,0.001151,0.001151
6,4.63988,1.4055,2.33473,1.40985,0.57025,0.82874,0.73185,0.53286,0.8915,2.04613,0.98944,0.00112625,0.00112625,0.00112625
7,5.31482,1.33175,2.28338,1.35019,0.46051,0.75,0.75608,0.57776,0.77431,1.62417,0.94462,0.0011015,0.0011015,0.0011015
8,5.98222,1.35408,2.17387,1.36375,0.66999,0.72567,0.80292,0.6088,0.79193,1.59973,0.94686,0.00107675,0.00107675,0.00107675
9,6.66306,1.31366,2.02997,1.33957,0.56869,0.90138,0.71146,0.53197,0.85443,1.31988,0.98784,0.001052,0.001052,0.001052
10,7.32049,1.32378,1.8879,1.31151,0.70524,0.89428,0.81871,0.63084,0.78232,1.35872,0.92735,0.00102725,0.00102725,0.00102725
11,7.98977,1.3463,1.94822,1.33564,0.58743,0.80815,0.69019,0.51532,0.87607,2.57022,0.94913,0.0010025,0.0010025,0.0010025
12,8.64985,1.24171,1.73502,1.26511,0.81514,0.82641,0.96165,0.71122,0.98448,1.22638,1.00242,0.00097775,0.00097775,0.00097775
13,9.30685,1.27217,1.65209,1.2932,0.76744,0.81845,0.93177,0.81776,0.66886,1.35469,0.91342,0.000953,0.000953,0.000953
14,9.9688,1.26603,1.77085,1.32261,0.80111,0.91783,0.94917,0.83488,0.65954,1.02298,0.91164,0.00092825,0.00092825,0.00092825
15,10.6357,1.25936,1.6389,1.26639,0.92384,0.8831,0.97438,0.85924,0.59454,1.14292,0.88091,0.0009035,0.0009035,0.0009035
16,11.3009,1.18896,1.52058,1.2781,0.87304,0.86474,0.93271,0.79679,0.57803,0.99803,0.87316,0.00087875,0.00087875,0.00087875
17,11.9644,1.16793,1.50878,1.21818,0.89887,0.76026,0.8826,0.72433,0.78079,1.10812,0.93112,0.000854,0.000854,0.000854
18,12.6212,1.11989,1.37445,1.20431,0.92683,0.87955,0.94344,0.84567,0.61843,0.94461,0.87984,0.00082925,0.00082925,0.00082925
19,13.2902,1.13766,1.39101,1.20202,0.93014,0.90482,0.9845,0.88646,0.5797,0.85078,0.86218,0.0008045,0.0008045,0.0008045
20,13.9629,1.09501,1.39603,1.19653,0.9061,0.9105,0.9725,0.88128,0.55306,0.87629,0.86599,0.00077975,0.00077975,0.00077975
21,14.6236,1.08633,1.39821,1.19842,0.8862,0.96455,0.98625,0.88024,0.58586,0.83421,0.88793,0.000755,0.000755,0.000755
