epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8266,1.00644,2.27376,1.29828,0.78397,0.50888,0.55744,0.4042,0.86859,1.36653,1.15177,0.000369667,0.000369667,0.000369667
2,87.9309,0.95404,1.48975,1.23572,0.82458,0.55976,0.60075,0.4472,0.91668,1.2776,1.26472,0.000710697,0.000710697,0.000710697
3,130.878,0.95121,1.28783,1.22819,0.79549,0.60636,0.64147,0.47125,0.85015,1.06601,1.15233,0.0010224,0.0010224,0.0010224
4,174.037,0.91527,1.16194,1.20648,0.89475,0.63355,0.67632,0.54432,0.74146,0.86812,1.05692,0.000979013,0.000979013,0.000979013
5,217.064,0.87259,1.05745,1.17897,0.86263,0.65426,0.6856,0.54827,0.71564,0.81212,1.04552,0.000935018,0.000935018,0.000935018
6,260.037,0.82587,0.9621,1.15439,0.889,0.67698,0.70645,0.58897,0.62739,0.71402,0.98728,0.000891022,0.000891022,0.000891022
7,302.995,0.80019,0.90147,1.13728,0.89852,0.66055,0.70452,0.57699,0.67701,0.70893,1.0416,0.000847026,0.000847026,0.000847026
8,343.029,0.7856,0.86156,1.12926,0.88346,0.69103,0.70287,0.58029,0.62457,0.68617,0.97689,0.000803031,0.000803031,0.000803031
9,383.075,0.75062,0.81935,1.10496,0.88049,0.70091,0.71415,0.61124,0.58316,0.60102,0.95973,0.000759035,0.000759035,0.000759035
10,423.119,0.74367,0.77787,1.09638,0.9064,0.68009,0.7137,0.60635,0.57476,0.61844,0.95323,0.00071504,0.00071504,0.00071504
11,463.189,0.72013,0.74092,1.08241,0.89795,0.68743,0.71433,0.60773,0.58465,0.60729,0.95188,0.000671044,0.000671044,0.000671044
12,503.265,0.71058,0.72993,1.08185,0.91229,0.68232,0.71453,0.61808,0.54748,0.56255,0.93211,0.000627048,0.000627048,0.000627048
13,543.326,0.69094,0.69796,1.06429,0.91435,0.69558,0.71099,0.61654,0.52913,0.55277,0.91591,0.000583053,0.000583053,0.000583053
14,583.296,0.67877,0.67045,1.05466,0.90397,0.71576,0.72276,0.63844,0.49597,0.52766,0.90241,0.000539057,0.000539057,0.000539057
15,623.427,0.66529,0.66477,1.04823,0.912,0.69574,0.72148,0.629,0.51036,0.53252,0.91345,0.000495062,0.000495062,0.000495062
16,663.626,0.63708,0.58403,1.06768,0.91265,0.68591,0.7211,0.63592,0.51327,0.53886,0.9084,0.000451066,0.000451066,0.000451066
17,703.037,0.62006,0.55213,1.04895,0.90384,0.702,0.72567,0.63662,0.49503,0.51458,0.89803,0.00040707,0.00040707,0.00040707
18,742.461,0.60122,0.5277,1.03749,0.90099,0.71797,0.72492,0.6463,0.47732,0.49873,0.88876,0.000363075,0.000363075,0.000363075
19,781.941,0.57582,0.50573,1.02107,0.91481,0.70126,0.72997,0.654,0.46568,0.49005,0.8827,0.000319079,0.000319079,0.000319079
20,821.327,0.55989,0.48384,1.0047,0.91928,0.68949,0.72544,0.64733,0.46773,0.50218,0.87659,0.000275084,0.000275084,0.000275084
21,860.726,0.5424,0.46613,0.9921,0.88547,0.71513,0.72686,0.64769,0.4573,0.49868,0.87529,0.000231088,0.000231088,0.000231088
22,901.802,0.52698,0.45047,0.98266,0.89191,0.71941,0.72978,0.65648,0.43812,0.47289,0.86833,0.000187092,0.000187092,0.000187092
23,941.379,0.51281,0.43612,0.97355,0.91099,0.70304,0.72924,0.65486,0.43598,0.47117,0.86372,0.000143097,0.000143097,0.000143097
24,980.83,0.50367,0.421,0.97131,0.90184,0.72011,0.72897,0.65654,0.42477,0.4621,0.85963,9.91012e-05,9.91012e-05,9.91012e-05
25,1020.25,0.48896,0.40777,0.95823,0.91013,0.70598,0.73109,0.65996,0.41835,0.45788,0.85667,5.51056e-05,5.51056e-05,5.51056e-05
